StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Last Seen Flow Element ID,Last Seen Question IDs,QID11_1,QID11_2,QID11_3,QID11_4,QID11_5,QID11_6,QID15,QID28,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Last Seen Flow Element ID,Last Seen Question IDs,"Participant Consent Form



Completion and submission of the online questionnaire, after confirming the statements above, will be taken as consent to take part. No participant signature or name is collected, as the questionnaire is anonymous. - 1.  I have read the Information Sheet for this study and have had details of the study explained to me.","Participant Consent Form



Completion and submission of the online questionnaire, after confirming the statements above, will be taken as consent to take part. No participant signature or name is collected, as the questionnaire is anonymous. - 2. My questions about the study have been answered to my satisfaction and I understand that I may ask further questions at any point.","Participant Consent Form



Completion and submission of the online questionnaire, after confirming the statements above, will be taken as consent to take part. No participant signature or name is collected, as the questionnaire is anonymous. - 3.  I understand that I am free to stop completing the questionnaire at any time before submission, or to skip any question, without giving a reason, and that my responses cannot be withdrawn after submission because they are anonymous and cannot be identified.","Participant Consent Form



Completion and submission of the online questionnaire, after confirming the statements above, will be taken as consent to take part. No participant signature or name is collected, as the questionnaire is anonymous. - 4.  I agree to provide information to the researchers under the conditions of confidentiality set out in the Information Sheet.","Participant Consent Form



Completion and submission of the online questionnaire, after confirming the statements above, will be taken as consent to take part. No participant signature or name is collected, as the questionnaire is anonymous. - 5.  I wish to participate in the study under the conditions set out in the Information Sheet.","Participant Consent Form



Completion and submission of the online questionnaire, after confirming the statements above, will be taken as consent to take part. No participant signature or name is collected, as the questionnaire is anonymous. - 6.  I understand that anonymised findings will be reported in the researcher's MSc dissertation and may appear in academic presentations or publications in summary form only.",Do you consent to take part in this study?,"About you

How would you describe your level of experience or familiarity with computing and cloud technologies?",How easy is this recommendation to understand?,How much does the confidence level (High/Medium/Low) help you decide whether to follow the recommendation?,"If this were your server, would you feel comfortable following this recommendation?",How easy is this recommendation to understand?,How much does the confidence level (High/Medium/Low) help you decide whether to follow the recommendation?,"If this were your server, would you feel comfortable following this recommendation?",How easy is this recommendation to understand?,How much does the confidence level (High/Medium/Low) help you decide whether to follow the recommendation?,"If this were your server, would you feel comfortable following this recommendation?",How easy is this recommendation to understand?,How much does the confidence level (High/Medium/Low) help you decide whether to follow the recommendation?,"If this were your server, would you feel comfortable following this recommendation?",How useful is the confidence level (High/Medium/Low) when deciding whether to follow this recommendation?,"Was there any recommendation you found confusing or hard to trust? If so, which one, and why? (optional)",Do you have any other comments? (optional)
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""LastSeenFlowID""}","{""ImportId"":""LastSeenQuestions""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID15""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID50""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}"
2026-08-11 23:14:38,2026-08-11 23:15:58,Survey Preview,100,79,True,2026-08-11 23:15:58,R_89nOyeo3Azh31h6,preview,EN-GB,FL_EOS_ID,,Yes,Yes,No,No,Yes,No,Yes — I consent to participate,Moderately Familiar,Very Confusing,A moderate amount,Unsure,Very Confusing,A little,Unsure,,A great deal,No,Somewhat Confusing,A moderate Amount,Unsure,,,
2026-08-12 00:12:18,2026-08-12 00:13:28,Survey Preview,100,69,True,2026-08-12 00:13:29,R_8lS9xXoQjAwSDmH,preview,EN-GB,FL_EOS_ID,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Slighly Familiar,Neutral,A lot,Yes,Very Confusing,None at all Useful,,,,,,,,,,
2026-08-13 14:50:56,2026-08-13 14:55:32,IP Address,100,275,True,2026-08-13 14:55:32,R_2Fy94qgw2AFokUJ,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Moderately Familiar,Very Easy,A lot,Yes,Somewhat Easy,A moderate amount,Unsure,Very Easy,A lot,Yes,Somewhat Easy,A great deal,No,Very useful,"Example 4 was the hardest to trust because the server occasionally reached 68% processing usage and was continuously writing data, despite the recommendation to shut it down. The Low confidence level made me more cautious about following it.","The recommendations were generally clear and easy to understand. The confidence level was useful for judging how much trust to place in each recommendation, particularly when the usage data was less straightforward."
2026-08-13 16:39:03,2026-08-13 16:46:18,IP Address,100,435,True,2026-08-13 16:46:18,R_8O3qLVVBmkYKd0i,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Somewhat Easy,A lot,Yes,Somewhat Easy,A moderate amount,Yes,Very Easy,A great deal,Yes,Neutral,A moderate Amount,Unsure,Very useful,,
2026-08-13 20:19:10,2026-08-13 20:24:55,IP Address,100,344,True,2026-08-13 20:24:55,R_8lgMhIY17LMk7zX,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Very Familiar,Very Easy,A great deal,Yes,Very Easy,A great deal,Yes,Very Easy,A great deal,Yes,Somewhat Easy,A great deal,Yes,Extremely useful,None,None
2026-08-13 14:11:10,2026-08-13 20:54:15,IP Address,100,24184,True,2026-08-13 20:54:16,R_5lMf7b3eWQc2mPL,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Slighly Familiar,Very Easy,A great deal,Unsure,Neutral,A moderate amount,Unsure,Somewhat Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Moderately useful,,
2026-08-13 14:25:34,2026-08-13 20:54:53,IP Address,100,23358,True,2026-08-13 20:54:54,R_1Qfkq4qKcftJZCR,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Extremely Familiar,Very Easy,A lot,Yes,Neutral,A moderate amount,Yes,Somewhat Easy,A lot,Yes,Somewhat Easy,A lot,Yes,Very useful,,
2026-08-13 14:50:37,2026-08-13 22:23:52,IP Address,100,27194,True,2026-08-13 22:23:52,R_7puHMfIeSsY7489,anonymous,EN-GB,FL_17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes — I consent to participate,Slighly Familiar,Somewhat Confusing,A lot,Yes,Somewhat Easy,A lot,Yes,Very Confusing,None at all Useful,No,Somewhat Confusing,A little,No,Slightly useful,,
