vm_id,actual_label,predicted_label,probability_true,confidence_score,confidence_band,recommended_action,correct
921,False,False,0.423,0.577,Low,No Action,True
126,False,False,0.05,0.95,High,No Action,True
957,False,False,0.033,0.967,High,No Action,True
655,True,True,0.997,0.997,High,Shutdown,True
85,False,False,0.003,0.997,High,No Action,True
937,True,True,0.81,0.81,Medium,Resize,True
990,False,False,0.1,0.9,High,No Action,True
118,True,True,1.0,1.0,High,Shutdown,True
1094,False,False,0.107,0.893,Medium,No Action,True
1083,False,False,0.18,0.82,Medium,No Action,True
616,False,False,0.007,0.993,High,No Action,True
389,False,False,0.0,1.0,High,No Action,True
337,False,False,0.0,1.0,High,No Action,True
835,False,False,0.0,1.0,High,No Action,True
240,False,False,0.497,0.503,Low,No Action,True
150,True,True,1.0,1.0,High,Shutdown,True
1009,False,False,0.47,0.53,Low,No Action,True
222,False,False,0.013,0.987,High,No Action,True
457,False,False,0.007,0.993,High,No Action,True
553,True,True,1.0,1.0,High,Shutdown,True
779,True,True,0.967,0.967,High,Shutdown,True
356,False,False,0.0,1.0,High,No Action,True
14,True,True,0.987,0.987,High,Shutdown,True
361,False,False,0.0,1.0,High,No Action,True
528,True,True,0.967,0.967,High,Shutdown,True
433,False,False,0.0,1.0,High,No Action,True
271,False,False,0.003,0.997,High,No Action,True
746,False,False,0.003,0.997,High,No Action,True
188,False,False,0.14,0.86,Medium,No Action,True
1040,False,False,0.003,0.997,High,No Action,True
1203,False,False,0.0,1.0,High,No Action,True
884,False,False,0.21,0.79,Medium,No Action,True
268,False,False,0.0,1.0,High,No Action,True
592,False,False,0.077,0.923,High,No Action,True
986,True,True,0.773,0.773,Medium,Resize,True
834,False,False,0.0,1.0,High,No Action,True
1055,False,False,0.007,0.993,High,No Action,True
775,True,True,1.0,1.0,High,Shutdown,True
730,False,False,0.37,0.63,Low,No Action,True
967,False,False,0.07,0.93,High,No Action,True
313,False,False,0.047,0.953,High,No Action,True
664,True,True,1.0,1.0,High,Shutdown,True
1125,False,False,0.017,0.983,High,No Action,True
203,True,True,1.0,1.0,High,Shutdown,True
702,True,True,1.0,1.0,High,Shutdown,True
492,False,False,0.0,1.0,High,No Action,True
1143,False,False,0.17,0.83,Medium,No Action,True
879,False,False,0.0,1.0,High,No Action,True
1204,False,False,0.0,1.0,High,No Action,True
1052,True,True,0.797,0.797,Medium,Resize,True
98,False,False,0.03,0.97,High,No Action,True
890,True,True,0.957,0.957,High,Shutdown,True
253,True,True,0.56,0.56,Low,No Action,True
34,False,False,0.09,0.91,High,No Action,True
865,False,False,0.0,1.0,High,No Action,True
867,False,False,0.0,1.0,High,No Action,True
985,False,False,0.063,0.937,High,No Action,True
417,False,False,0.0,1.0,High,No Action,True
699,False,False,0.247,0.753,Medium,No Action,True
861,True,True,0.777,0.777,Medium,Resize,True
1129,True,True,0.997,0.997,High,Shutdown,True
90,True,True,1.0,1.0,High,Shutdown,True
751,False,False,0.05,0.95,High,No Action,True
1003,False,False,0.417,0.583,Low,No Action,True
178,True,True,0.803,0.803,Medium,Resize,True
198,True,True,1.0,1.0,High,Shutdown,True
168,True,True,1.0,1.0,High,Shutdown,True
53,False,False,0.003,0.997,High,No Action,True
284,True,True,0.98,0.98,High,Shutdown,True
1065,True,True,0.96,0.96,High,Shutdown,True
517,False,False,0.0,1.0,High,No Action,True
503,True,True,1.0,1.0,High,Shutdown,True
451,True,True,0.997,0.997,High,Shutdown,True
446,False,False,0.0,1.0,High,No Action,True
391,False,False,0.0,1.0,High,No Action,True
645,True,True,1.0,1.0,High,Shutdown,True
568,True,True,0.99,0.99,High,Shutdown,True
260,False,False,0.0,1.0,High,No Action,True
71,True,True,0.973,0.973,High,Shutdown,True
1206,False,False,0.003,0.997,High,No Action,True
919,True,True,1.0,1.0,High,Shutdown,True
275,False,False,0.003,0.997,High,No Action,True
902,False,False,0.0,1.0,High,No Action,True
900,True,True,0.927,0.927,High,Shutdown,True
1188,False,False,0.0,1.0,High,No Action,True
1018,True,True,0.973,0.973,High,Shutdown,True
837,False,False,0.0,1.0,High,No Action,True
710,True,True,0.803,0.803,Medium,Resize,True
89,True,True,1.0,1.0,High,Shutdown,True
1149,False,False,0.0,1.0,High,No Action,True
66,False,False,0.047,0.953,High,No Action,True
989,False,False,0.163,0.837,Medium,No Action,True
172,False,False,0.0,1.0,High,No Action,True
899,False,False,0.403,0.597,Low,No Action,True
709,True,True,0.983,0.983,High,Shutdown,True
64,True,True,1.0,1.0,High,Shutdown,True
406,False,False,0.0,1.0,High,No Action,True
407,False,False,0.01,0.99,High,No Action,True
