method,cycle,mean_accuracy_pct,sd_accuracy_pct,mean_precision_pct,sd_precision_pct,mean_recall_pct,sd_recall_pct,mean_f1_pct,sd_f1_pct,mean_confidence_pct,sd_confidence_pct
confidence,0,97.33,1.02,98.09,1.36,95.3,1.97,96.66,1.28,93.49,0.71
confidence,1,98.44,0.71,98.98,0.74,97.17,1.81,98.06,0.9,93.65,0.73
confidence,2,98.62,0.43,99.09,0.8,97.53,1.16,98.29,0.53,93.94,0.64
confidence,3,98.56,0.56,99.24,0.65,97.22,1.53,98.21,0.71,94.22,0.59
confidence,4,98.56,0.57,99.24,0.72,97.22,1.5,98.21,0.72,94.39,0.59
confidence,5,98.5,0.67,99.23,0.73,97.07,1.7,98.13,0.85,94.47,0.61
random,0,97.33,1.02,98.09,1.36,95.3,1.97,96.66,1.28,93.49,0.71
random,1,97.49,0.93,98.1,1.32,95.71,1.88,96.88,1.17,93.54,0.72
random,2,97.53,0.99,98.35,1.16,95.56,1.95,96.92,1.25,93.56,0.71
random,3,97.57,0.9,98.4,1.03,95.61,1.92,96.97,1.15,93.64,0.66
random,4,97.59,0.86,98.3,1.06,95.76,1.9,97.0,1.08,93.68,0.7
random,5,97.72,0.89,98.41,1.17,95.96,1.91,97.16,1.12,93.74,0.69
